nx,ny,iters,FLOPS,Time,GFLOPS,AI,MemBW
32,32,776,6984000,0.194018,0.035997,0.125000,0.287973
64,64,2582,99252080,0.593873,0.167127,0.125000,1.337014
128,128,8370,1328821200,1.722081,0.771637,0.125000,6.173095
256,256,25912,16717385920,5.892572,2.837027,0.125000,22.696215
512,512,73970,192395970000,20.285146,9.484574,0.125000,75.876594
1024,1024,100000,1044484000000,35.060254,29.791114,0.125000,238.328908
